,Trimestre,Poblacion_ocupada_en_la_industria_manufacturera,Tasa_de_ocupaci n_en_la_industria_manufacturera
0,1,4384907,16.485975660000000000000
1,1,2690296,18.124679360000000000000
2,1,56407,22.913188480000000000000
3,1,28430,19.518591750000000000000
4,1,167651,21.801482210000000000000
5,1,103697,25.995021450000000000000
6,1,9349,6.2823390270000000000000
7,1,4103,5.4238049920000000000000
8,1,17032,8.2396423940000000000000
9,1,17935,16.291216280000000000000
10,1,171196,26.885651650000000000000
11,1,77974,23.331188940000000000000
12,1,15851,10.120480390000000000000
13,1,9048,9.1336738610000000000000
14,1,59684,5.2533553030000000000000
15,1,46623,10.742626730000000000000
16,1,203833,24.604793660000000000000
17,1,121060,30.825170410000000000000
18,1,362248,15.664900310000000000000
19,1,193570,12.533361650000000000000
20,1,65926,17.422350480000000000000
21,1,29268,15.975372120000000000000
22,1,285927,23.733699670000000000000
23,1,156216,21.356388210000000000000
24,1,57673,8.2071679130000000000000
25,1,69924,18.142145120000000000000
26,1,94696,15.365094610000000000000
27,1,60884,17.335546640000000000000
28,1,343662,19.855616320000000000000
29,1,215901,19.386373390000000000000
30,1,743104,20.740421530000000000000
31,1,386015,20.147393860000000000000
32,1,139848,13.912842780000000000000
33,1,95769,16.477379280000000000000
34,1,47597,11.940654220000000000000
35,1,34987,13.006174650000000000000
36,1,17268,6.6205563910000000000000
37,1,16282,10.033337650000000000000
38,1,308904,26.370451820000000000000
39,1,115657,18.488495150000000000000
40,1,73463,8.4865729090000000000000
41,1,137694,25.426376630000000000000
42,1,230487,17.180188220000000000000
43,1,188720,23.095355230000000000000
44,1,89657,22.997170790000000000000
45,1,51415,21.186597820000000000000
46,1,18595,5.9383143430000000000000
47,1,10641,5.8938867750000000000000
48,1,94423,15.667030590000000000000
49,1,58284,17.734529750000000000000
50,1,77990,10.405936950000000000000
51,1,53206,13.311683440000000000000
52,1,91143,13.999020070000000000000
53,1,70042,20.085340190000000000000
54,1,37784,7.1064767790000000000000
55,1,13032,6.1748986010000000000000
56,1,144816,18.319451890000000000000
57,1,101803,23.214391590000000000000
58,1,60857,23.131803810000000000000
59,1,44308,32.048722620000000000000
60,1,186805,10.421222580000000000000
61,1,98856,11.041205710000000000000
62,1,79794,16.375154680000000000000
63,1,65218,22.825444050000000000000
64,1,31237,9.5727695360000000000000
65,1,13734,8.4944520730000000000000
66,2,4299545,16.298575560000000000000
67,2,2715510,17.751928390000000000000
68,2,57749,23.088240590000000000000
69,2,27850,18.629510210000000000000
70,2,155352,20.450982120000000000000
71,2,109288,26.696109710000000000000
72,2,8430,5.5967919690000000000000
73,2,4052,5.1419362210000000000000
74,2,17116,8.0858662690000000000000
75,2,17831,15.572245750000000000000
76,2,177317,27.609278190000000000000
77,2,73347,21.254147410000000000000
78,2,16334,10.395081840000000000000
79,2,10828,10.504564460000000000000
80,2,53275,4.635204410000000000000
81,2,59508,12.001234250000000000000
82,2,184094,21.805910410000000000000
83,2,119483,27.007361970000000000000
84,2,335779,14.796537090000000000000
85,2,174367,10.69068520000000000000
86,2,66291,17.750495370000000000000
87,2,31148,16.758940920000000000000
88,2,289234,24.763036520000000000000
89,2,157011,22.102738150000000000000
90,2,49167,6.9392185030000000000000
91,2,72371,17.551505450000000000000
92,2,94694,15.430567820000000000000
93,2,64789,18.184089030000000000000
94,2,341041,19.579622650000000000000
95,2,209698,19.34647590000000000000
96,2,693433,19.794109950000000000000
97,2,362438,18.998560060000000000000
98,2,137251,14.12582130000000000000
99,2,94871,15.051625880000000000000
100,2,43578,10.802570130000000000000
101,2,32680,12.321474350000000000000
102,2,20394,7.9957970510000000000000
103,2,16525,10.435150510000000000000
104,2,310295,26.275210810000000000000
105,2,118852,18.373142430000000000000
106,2,72511,8.3520313670000000000000
107,2,135968,22.73164990000000000000
108,2,236459,18.088498310000000000000
109,2,190831,23.130581710000000000000
110,2,89439,22.591482130000000000000
111,2,57421,22.643243030000000000000
112,2,19336,6.0406500510000000000000
113,2,13020,6.7331709510000000000000
114,2,104308,17.556367950000000000000
115,2,63812,18.54795110000000000000
116,2,75157,10.407380170000000000000
117,2,54790,12.811729080000000000000
118,2,102370,16.125348320000000000000
119,2,77039,21.735597580000000000000
120,2,39321,7.3259070050000000000000
121,2,10456,4.8040211160000000000000
122,2,152786,18.92339780000000000000
123,2,111028,24.168992250000000000000
124,2,62589,23.441660830000000000000
125,2,48142,33.259641030000000000000
126,2,183207,10.497807410000000000000
127,2,108357,12.25963170000000000000
128,2,83288,17.15043490000000000000
129,2,72367,24.084440480000000000000
130,2,27950,8.1892523020000000000000
131,2,15342,9.1455890510000000000000
132,3,4290567,16.022925810000000000000
133,3,2772116,17.818835660000000000000
134,3,54585,21.641391610000000000000
135,3,28398,19.085318730000000000000
136,3,160036,20.794428350000000000000
137,3,109074,26.053059640000000000000
138,3,9609,6.2725207580000000000000
139,3,4673,5.931106260000000000000
140,3,17815,8.4256377760000000000000
141,3,18678,16.082729880000000000000
142,3,168626,26.354524670000000000000
143,3,71230,21.751942960000000000000
144,3,16236,10.324500660000000000000
145,3,10578,10.253278660000000000000
146,3,57328,4.9549561230000000000000
147,3,59348,11.817155460000000000000
148,3,184026,21.448176750000000000000
149,3,121649,26.452853080000000000000
150,3,320777,14.113891610000000000000
151,3,167031,10.376239710000000000000
152,3,68157,17.830384140000000000000
153,3,33372,17.964052520000000000000
154,3,303831,25.076819840000000000000
155,3,152421,20.7035240000000000000
156,3,43653,5.6592766220000000000000
157,3,67750,14.610109550000000000000
158,3,92533,15.076635310000000000000
159,3,70600,17.807597240000000000000
160,3,351469,19.840147130000000000000
161,3,229841,20.462286840000000000000
162,3,698696,19.672345320000000000000
163,3,381555,19.288018330000000000000
164,3,140757,14.174453420000000000000
165,3,108677,16.920949830000000000000
166,3,46983,11.287776680000000000000
167,3,34258,12.929645190000000000000
168,3,18787,7.5072027110000000000000
169,3,18341,11.831910870000000000000
170,3,313260,26.319503960000000000000
171,3,129821,19.763274880000000000000
172,3,67299,7.4083573680000000000000
173,3,139552,23.832635980000000000000
174,3,233484,17.504241410000000000000
175,3,186885,21.728009520000000000000
176,3,95335,23.661553050000000000000
177,3,56480,21.927083130000000000000
178,3,22049,6.6390853610000000000000
179,3,14435,7.5141198820000000000000
180,3,104331,17.580419580000000000000
181,3,60835,17.742203610000000000000
182,3,69407,9.9277947360000000000000
183,3,48174,12.291731520000000000000
184,3,99551,16.067964140000000000000
185,3,71519,20.747043240000000000000
186,3,31508,5.8115256640000000000000
187,3,12992,5.6407985340000000000000
188,3,148458,18.750023680000000000000
189,3,122705,27.687770490000000000000
190,3,61391,22.568975980000000000000
191,3,47195,30.011573490000000000000
192,3,174362,9.5950227080000000000000
193,3,100976,11.175956910000000000000
194,3,90213,18.222639680000000000000
195,3,73132,24.168197860000000000000
196,3,26015,7.5009010310000000000000
197,3,19941,11.206964380000000000000
198,4,4348251,16.108578150000000000000
199,4,2736286,17.241535530000000000000
200,4,58213,22.519710020000000000000
201,4,28233,18.235073760000000000000
202,4,155452,20.078764060000000000000
203,4,104667,23.690714930000000000000
204,4,9108,5.8274789820000000000000
205,4,4607,5.3661491150000000000000
206,4,18416,8.7232903710000000000000
207,4,18830,16.220593180000000000000
208,4,176864,27.489477580000000000000
209,4,63874,18.363040480000000000000
210,4,16178,10.261191660000000000000
211,4,11762,10.959542310000000000000
212,4,58917,5.1636057690000000000000
213,4,61076,12.789151540000000000000
214,4,190135,21.642304110000000000000
215,4,109855,23.955784670000000000000
216,4,323505,13.989768380000000000000
217,4,197823,11.5920110000000000000
218,4,70110,18.244319310000000000000
219,4,29600,16.095179060000000000000
220,4,307479,24.883847220000000000000
221,4,157248,20.502978020000000000000
222,4,47492,6.2293658490000000000000
223,4,67471,15.143272040000000000000
224,4,84724,14.239399530000000000000
225,4,65978,17.573466940000000000000
226,4,357572,20.199194570000000000000
227,4,244634,21.783059840000000000000
228,4,682457,18.98116060000000000000
229,4,375161,18.719188960000000000000
230,4,145688,14.650756330000000000000
231,4,103171,15.510167880000000000000
232,4,47747,11.293740860000000000000
233,4,30711,11.661711270000000000000
234,4,20072,7.5759119820000000000000
235,4,16812,10.556256710000000000000
236,4,332157,27.353063250000000000000
237,4,125152,18.822849960000000000000
238,4,67200,7.5665024630000000000000
239,4,117947,20.293458270000000000000
240,4,243930,18.413438420000000000000
241,4,181409,21.227308150000000000000
242,4,94902,22.717414720000000000000
243,4,63147,23.835892560000000000000
244,4,21618,6.4510738360000000000000
245,4,12815,6.9536010590000000000000
246,4,101607,17.081342610000000000000
247,4,66075,18.829131510000000000000
248,4,73098,10.045446240000000000000
249,4,46534,10.896820450000000000000
250,4,101596,15.802793280000000000000
251,4,73128,21.083465470000000000000
252,4,34758,6.343094280000000000000
253,4,12058,5.5053327490000000000000
254,4,153867,18.879757150000000000000
255,4,113506,24.055220240000000000000
256,4,62629,22.785616050000000000000
257,4,47984,28.911597420000000000000
258,4,177063,9.7847891270000000000000
259,4,91162,9.436317640000000000000
260,4,87066,17.826160840000000000000
261,4,74834,24.703723020000000000000
262,4,26631,7.5261129070000000000000
263,4,19022,10.200831210000000000000
264,1,4377795,16.265868370000000000000
265,1,2741480,17.321603710000000000000
266,1,58341,22.761268270000000000000
267,1,25737,16.929229680000000000000
268,1,156261,20.043508990000000000000
269,1,105402,23.727005050000000000000
270,1,8786,5.5262379940000000000000
271,1,3559,4.3859757220000000000000
272,1,17084,8.1715040080000000000000
273,1,17589,14.995396260000000000000
274,1,171703,26.341118430000000000000
275,1,62721,18.081990370000000000000
276,1,16557,10.430591870000000000000
277,1,9630,8.9994953550000000000000
278,1,59850,5.2052576150000000000000
279,1,48833,10.986546080000000000000
280,1,214820,24.499729710000000000000
281,1,116994,25.598589160000000000000
282,1,332272,14.425860540000000000000
283,1,183158,10.915015580000000000000
284,1,63602,16.677067660000000000000
285,1,27295,15.052915450000000000000
286,1,289545,24.01515830000000000000
287,1,151429,20.703765890000000000000
288,1,56127,8.3006863630000000000000
289,1,72361,15.994032160000000000000
290,1,91662,14.971628680000000000000
291,1,66554,18.799768370000000000000
292,1,351065,19.971919330000000000000
293,1,241456,21.535363230000000000000
294,1,693353,19.210977650000000000000
295,1,387498,18.426129380000000000000
296,1,144978,14.419172250000000000000
297,1,96450,15.427260750000000000000
298,1,52631,12.498248660000000000000
299,1,31059,11.672015570000000000000
300,1,23317,8.7714942420000000000000
301,1,15862,9.9979199890000000000000
302,1,319372,26.38227920000000000000
303,1,130752,19.484310710000000000000
304,1,61385,7.0437727130000000000000
305,1,138882,23.030618610000000000000
306,1,240480,18.460617270000000000000
307,1,185213,22.008764860000000000000
308,1,91980,22.774937170000000000000
309,1,58896,22.732746640000000000000
310,1,21443,6.4042027670000000000000
311,1,14522,7.3798900280000000000000
312,1,105158,17.261682960000000000000
313,1,68899,19.254943060000000000000
314,1,75653,10.24308940000000000000
315,1,47786,10.974061020000000000000
316,1,112843,17.166819810000000000000
317,1,79472,21.659689520000000000000
318,1,39896,7.2550053650000000000000
319,1,15516,6.590689950000000000000
320,1,157890,19.470405940000000000000
321,1,106836,22.467052070000000000000
322,1,62600,23.020037730000000000000
323,1,42078,28.041904910000000000000
324,1,176840,9.5802232640000000000000
325,1,98171,10.431017540000000000000
326,1,85656,17.217840170000000000000
327,1,72988,24.673362250000000000000
328,1,24645,7.4665301310000000000000
329,1,17882,10.167506280000000000000
330,2,4403016,16.184780040000000000000
331,2,2775340,17.3374620000000000000
332,2,57262,22.28552970000000000000
333,2,26985,17.639099510000000000000
334,2,157768,20.512020430000000000000
335,2,117516,24.543449570000000000000
336,2,9537,5.8920197950000000000000
337,2,3483,4.2980897380000000000000
338,2,17416,8.0449735080000000000000
339,2,16538,14.286578150000000000000
340,2,181789,27.40737390000000000000
341,2,65202,17.803566070000000000000
342,2,16209,9.7798935670000000000000
343,2,9758,9.0656558620000000000000
344,2,63145,5.4641096820000000000000
345,2,56346,12.493098930000000000000
346,2,200707,22.547674820000000000000
347,2,127209,26.3578950000000000000
348,2,331523,14.38270170000000000000
349,2,196893,11.731182520000000000000
350,2,66240,17.344264270000000000000
351,2,23853,12.90460450000000000000
352,2,310031,25.037613230000000000000
353,2,164434,21.50509790000000000000
