,Periodo,Trimestre,Entidad_Federativa,Sexo,Poblacion_ocupada_en_la_industria_manufacturera,Poblaci n_ocupada,Tasa_de_ocupaci n_en_la_industria_manufacturera
1000,2008,4,Coahuila,Hombres,162606,694961,23.397859740000000000000
2000,2012,3,Durango,Hombres,76715,433701,17.688453570000000000000
3000,2016,2,M xico,Hombres,807150,4305995,18.74479650000000000000
