,Periodo,Trimestre,Entidad_Federativa,Sexo,Poblacion_ocupada_en_la_industria_manufacturera,Poblaci n_ocupada,Tasa_de_ocupaci n_en_la_industria_manufacturera
3181,2017,1,Colima,Mujeres,13224,153035,8.6411605190000000000000
3183,2017,1,Chiapas,Mujeres,96376,582306,16.550748230000000000000
3185,2017,1,Chihuahua,Mujeres,207777,588566,35.302243080000000000000
3187,2017,1,Ciudad de M xico,Mujeres,179016,1809852,9.8911955230000000000000
3189,2017,1,Durango,Mujeres,41628,264987,15.70944990000000000000
3191,2017,1,Guanajuato,Mujeres,210551,962198,21.88229450000000000000
3193,2017,1,Guerrero,Mujeres,56301,559783,10.057647340000000000000
3195,2017,1,Hidalgo,Mujeres,72962,421961,17.291171460000000000000
3197,2017,1,Jalisco,Mujeres,234344,1436951,16.30841970000000000000
3199,2017,1,M xico,Mujeres,405240,2670942,15.172175210000000000000
3201,2017,1,Michoac n,Mujeres,74134,706092,10.49919840000000000000
3203,2017,1,Morelos,Mujeres,34235,320976,10.665906490000000000000
3205,2017,1,Nayarit,Mujeres,17964,227792,7.8861417430000000000000
3207,2017,1,Nuevo Le n,Mujeres,162566,855041,19.012655530000000000000
3209,2017,1,Oaxaca,Mujeres,140989,650027,21.689714430000000000000
3211,2017,1,Puebla,Mujeres,195201,1049580,18.598010630000000000000
3213,2017,1,Quer taro,Mujeres,60116,299788,20.052837340000000000000
3215,2017,1,Quintana Roo,Mujeres,16013,288674,5.5470877180000000000000
3217,2017,1,San Luis Potos ,Mujeres,70930,419587,16.904718210000000000000
3219,2017,1,Sinaloa,Mujeres,62673,516852,12.125908380000000000000
3221,2017,1,Sonora,Mujeres,113959,534931,21.303495220000000000000
3223,2017,1,Tabasco,Mujeres,23286,305973,7.6104754340000000000000
3225,2017,1,Tamaulipas,Mujeres,128390,601495,21.345148340000000000000
3227,2017,1,Tlaxcala,Mujeres,54956,222107,24.743029260000000000000
3229,2017,1,Veracruz,Mujeres,76456,1060559,7.2090284460000000000000
3231,2017,1,Yucat n,Mujeres,94105,419528,22.431160730000000000000
3233,2017,1,Zacatecas,Mujeres,28793,211947,13.5850000000000000
3235,2017,2,Nacional,Mujeres,3211617,19868078,16.164709040000000000000
3237,2017,2,Aguascalientes,Mujeres,41746,215595,19.363157770000000000000
3239,2017,2,Baja California,Mujeres,152042,651404,23.34066110000000000000
3241,2017,2,Baja California Sur,Mujeres,11554,145653,7.9325520240000000000000
3243,2017,2,Campeche,Mujeres,16185,150386,10.7623050000000000000
3245,2017,2,Coahuila,Mujeres,125190,481975,25.974376260000000000000
3247,2017,2,Colima,Mujeres,12305,150265,8.1888663360000000000000
3249,2017,2,Chiapas,Mujeres,73455,509143,14.42718450000000000000
3251,2017,2,Chihuahua,Mujeres,208720,613770,34.006223830000000000000
3253,2017,2,Ciudad de M xico,Mujeres,167450,1800332,9.3010622490000000000000
3255,2017,2,Durango,Mujeres,39123,276047,14.172586550000000000000
3257,2017,2,Guanajuato,Mujeres,198816,916541,21.691991960000000000000
3259,2017,2,Guerrero,Mujeres,63254,565374,11.187992370000000000000
3261,2017,2,Hidalgo,Mujeres,82467,434471,18.981013690000000000000
3263,2017,2,Jalisco,Mujeres,215841,1411974,15.286471280000000000000
3265,2017,2,M xico,Mujeres,408694,2755929,14.829627320000000000000
3267,2017,2,Michoac n,Mujeres,76532,699861,10.93531430000000000000
3269,2017,2,Morelos,Mujeres,36977,315740,11.711218090000000000000
3271,2017,2,Nayarit,Mujeres,16949,224375,7.5538718660000000000000
3273,2017,2,Nuevo Le n,Mujeres,157875,851384,18.54333650000000000000
3275,2017,2,Oaxaca,Mujeres,142880,658043,21.712866790000000000000
3277,2017,2,Puebla,Mujeres,210219,1093550,19.223538020000000000000
3279,2017,2,Quer taro,Mujeres,55815,288510,19.345949880000000000000
3281,2017,2,Quintana Roo,Mujeres,18115,299022,6.0580826830000000000000
3283,2017,2,San Luis Potos ,Mujeres,75026,442017,16.973555320000000000000
3285,2017,2,Sinaloa,Mujeres,65309,534642,12.215463810000000000000
3287,2017,2,Sonora,Mujeres,110495,533482,20.712039020000000000000
3289,2017,2,Tabasco,Mujeres,32138,313551,10.249688250000000000000
3291,2017,2,Tamaulipas,Mujeres,122153,613961,19.895889150000000000000
3293,2017,2,Tlaxcala,Mujeres,56309,219154,25.693804360000000000000
3295,2017,2,Veracruz,Mujeres,87784,1053960,8.3289688410000000000000
3297,2017,2,Yucat n,Mujeres,100433,417002,24.084536760000000000000
3299,2017,2,Zacatecas,Mujeres,29766,230965,12.887666960000000000000
3301,2017,3,Nacional,Mujeres,3295318,19872313,16.582458220000000000000
3303,2017,3,Aguascalientes,Mujeres,43123,209551,20.578761260000000000000
3305,2017,3,Baja California,Mujeres,165875,645279,25.705934950000000000000
3307,2017,3,Baja California Sur,Mujeres,10445,142951,7.3066994980000000000000
3309,2017,3,Campeche,Mujeres,17345,152220,11.394691890000000000000
3311,2017,3,Coahuila,Mujeres,120376,467433,25.752567750000000000000
3313,2017,3,Colima,Mujeres,13710,147426,9.2995808070000000000000
