,Periodo,Trimestre,Entidad_Federativa,Sexo,Poblacion_ocupada_en_la_industria_manufacturera,Poblaci n_ocupada,Tasa_de_ocupaci n_en_la_industria_manufacturera
3629,2018,3,Zacatecas,Mujeres,29510,216599,13.624254960000000000000
3631,2018,4,Nacional,Mujeres,3441630,20908056,16.46078430000000000000
3633,2018,4,Aguascalientes,Mujeres,44129,216647,20.369079650000000000000
3635,2018,4,Baja California,Mujeres,166650,684722,24.338344610000000000000
3637,2018,4,Baja California Sur,Mujeres,9526,165086,5.770325770000000000000
3639,2018,4,Campeche,Mujeres,19233,154430,12.454186360000000000000
3641,2018,4,Coahuila,Mujeres,134698,519777,25.91457490000000000000
3643,2018,4,Colima,Mujeres,15583,161254,9.6636362510000000000000
3645,2018,4,Chiapas,Mujeres,51532,511678,10.071177580000000000000
3647,2018,4,Chihuahua,Mujeres,215325,702943,30.63192890000000000000
3649,2018,4,Ciudad de M xico,Mujeres,174609,1852772,9.4242033020000000000000
3651,2018,4,Durango,Mujeres,47548,290743,16.353962090000000000000
3653,2018,4,Guanajuato,Mujeres,265289,971026,27.320483690000000000000
3655,2018,4,Guerrero,Mujeres,72751,605024,12.024481670000000000000
3657,2018,4,Hidalgo,Mujeres,80364,499328,16.094430920000000000000
3659,2018,4,Jalisco,Mujeres,234886,1459383,16.094883930000000000000
3661,2018,4,M xico,Mujeres,451025,2938497,15.348833090000000000000
3663,2018,4,Michoac n,Mujeres,69643,748277,9.3071148790000000000000
3665,2018,4,Morelos,Mujeres,33434,310127,10.780744660000000000000
3667,2018,4,Nayarit,Mujeres,24856,245016,10.144643620000000000000
3669,2018,4,Nuevo Le n,Mujeres,167137,925633,18.056508360000000000000
3671,2018,4,Oaxaca,Mujeres,172455,708240,24.349796680000000000000
3673,2018,4,Puebla,Mujeres,200536,1111241,18.046130410000000000000
3675,2018,4,Quer taro,Mujeres,60158,319247,18.843716620000000000000
3677,2018,4,Quintana Roo,Mujeres,16580,320516,5.1729086850000000000000
3679,2018,4,San Luis Potos ,Mujeres,88933,428397,20.759482440000000000000
3681,2018,4,Sinaloa,Mujeres,60900,533006,11.425762560000000000000
3683,2018,4,Sonora,Mujeres,113268,573446,19.752164980000000000000
3685,2018,4,Tabasco,Mujeres,33556,344993,9.7265741620000000000000
3687,2018,4,Tamaulipas,Mujeres,143767,625675,22.977903860000000000000
3689,2018,4,Tlaxcala,Mujeres,65445,233102,28.075692190000000000000
3691,2018,4,Veracruz,Mujeres,96089,1088038,8.8314011090000000000000
3693,2018,4,Yucat n,Mujeres,82262,436665,18.838697860000000000000
3695,2018,4,Zacatecas,Mujeres,29463,223127,13.204587520000000000000
3697,2019,1,Nacional,Mujeres,3333636,20883061,15.963349430000000000000
3699,2019,1,Aguascalientes,Mujeres,45735,217658,21.012322080000000000000
3701,2019,1,Baja California,Mujeres,164267,673282,24.397949150000000000000
3703,2019,1,Baja California Sur,Mujeres,7957,167660,4.745914350000000000000
3705,2019,1,Campeche,Mujeres,18951,149329,12.690770040000000000000
3707,2019,1,Coahuila,Mujeres,128045,498396,25.691418070000000000000
3709,2019,1,Colima,Mujeres,14874,162119,9.174742010000000000000
3711,2019,1,Chiapas,Mujeres,50851,544711,9.3354090520000000000000
3713,2019,1,Chihuahua,Mujeres,186465,632128,29.497981420000000000000
3715,2019,1,Ciudad de M xico,Mujeres,159687,1854443,8.6110492480000000000000
3717,2019,1,Durango,Mujeres,49926,293920,16.986254760000000000000
3719,2019,1,Guanajuato,Mujeres,256084,971563,26.357940760000000000000
3721,2019,1,Guerrero,Mujeres,82526,591070,13.962136460000000000000
3723,2019,1,Hidalgo,Mujeres,98867,511337,19.334998250000000000000
3725,2019,1,Jalisco,Mujeres,231871,1438466,16.119324340000000000000
3727,2019,1,M xico,Mujeres,421936,2932494,14.388298830000000000000
3729,2019,1,Michoac n,Mujeres,65514,763781,8.5775896490000000000000
3731,2019,1,Morelos,Mujeres,34506,331921,10.39584720000000000000
3733,2019,1,Nayarit,Mujeres,28933,243739,11.870484410000000000000
3735,2019,1,Nuevo Le n,Mujeres,167868,917944,18.287390080000000000000
3737,2019,1,Oaxaca,Mujeres,156431,721149,21.69191110000000000000
3739,2019,1,Puebla,Mujeres,194914,1096793,17.771265860000000000000
3741,2019,1,Quer taro,Mujeres,66207,316081,20.946213150000000000000
3743,2019,1,Quintana Roo,Mujeres,21074,330214,6.3819220260000000000000
3745,2019,1,San Luis Potos ,Mujeres,87309,428743,20.363947630000000000000
3747,2019,1,Sinaloa,Mujeres,52530,532280,9.868866010000000000000
3749,2019,1,Sonora,Mujeres,104641,559293,18.709513620000000000000
3751,2019,1,Tabasco,Mujeres,26940,329833,8.167769750000000000000
3753,2019,1,Tamaulipas,Mujeres,140316,639386,21.94542890000000000000
3755,2019,1,Tlaxcala,Mujeres,64285,237363,27.082991030000000000000
3757,2019,1,Veracruz,Mujeres,89240,1149705,7.7619911190000000000000
3759,2019,1,Yucat n,Mujeres,83937,426057,19.700885090000000000000
3761,2019,1,Zacatecas,Mujeres,30949,220203,14.054758560000000000000
3763,2019,2,Nacional,Mujeres,3412987,21486902,15.884034840000000000000
3765,2019,2,Aguascalientes,Mujeres,49134,221387,22.193715080000000000000
3767,2019,2,Baja California,Mujeres,163563,683959,23.914152750000000000000
3769,2019,2,Baja California Sur,Mujeres,10931,169139,6.4627318360000000000000
3771,2019,2,Campeche,Mujeres,22651,159396,14.210519710000000000000
3773,2019,2,Coahuila,Mujeres,144579,515014,28.072829090000000000000
3775,2019,2,Colima,Mujeres,14361,162170,8.8555219830000000000000
3777,2019,2,Chiapas,Mujeres,65526,642624,10.196631310000000000000
3779,2019,2,Chihuahua,Mujeres,189878,645293,29.425082870000000000000
3781,2019,2,Ciudad de M xico,Mujeres,157148,1845473,8.5153237140000000000000
3783,2019,2,Durango,Mujeres,52039,294665,17.660394010000000000000
3785,2019,2,Guanajuato,Mujeres,268561,1025859,26.179133780000000000000
3787,2019,2,Guerrero,Mujeres,96546,611411,15.790687440000000000000
3789,2019,2,Hidalgo,Mujeres,89871,525012,17.117894450000000000000
3791,2019,2,Jalisco,Mujeres,227285,1485268,15.302625520000000000000
3793,2019,2,M xico,Mujeres,388676,3014163,12.894989420000000000000
3795,2019,2,Michoac n,Mujeres,92065,758355,12.14009270000000000000
3797,2019,2,Morelos,Mujeres,29167,330517,8.8246595490000000000000
3799,2019,2,Nayarit,Mujeres,26708,250366,10.667582660000000000000
3801,2019,2,Nuevo Le n,Mujeres,163955,935645,17.523205920000000000000
3803,2019,2,Oaxaca,Mujeres,169752,780403,21.751838470000000000000
3805,2019,2,Puebla,Mujeres,173014,1104067,15.670606950000000000000
3807,2019,2,Quer taro,Mujeres,61179,316668,19.319602860000000000000
3809,2019,2,Quintana Roo,Mujeres,16832,338258,4.9760833450000000000000
3811,2019,2,San Luis Potos ,Mujeres,87035,455377,19.112735160000000000000
3813,2019,2,Sinaloa,Mujeres,60602,528697,11.462520120000000000000
3815,2019,2,Sonora,Mujeres,109538,563484,19.43941620000000000000
3817,2019,2,Tabasco,Mujeres,35418,368872,9.6017046560000000000000
3819,2019,2,Tamaulipas,Mujeres,142043,653955,21.720607690000000000000
3821,2019,2,Tlaxcala,Mujeres,67814,246531,27.507291170000000000000
3823,2019,2,Veracruz,Mujeres,115345,1195490,9.648345030000000000000
3825,2019,2,Yucat n,Mujeres,85657,419984,20.395300770000000000000
3827,2019,2,Zacatecas,Mujeres,36114,239400,15.085213030000000000000
3829,2019,3,Nacional,Mujeres,3423722,21565060,15.876246110000000000000
3831,2019,3,Aguascalientes,Mujeres,44918,213170,21.071445330000000000000
3833,2019,3,Baja California,Mujeres,175920,687791,25.577537360000000000000
3835,2019,3,Baja California Sur,Mujeres,13952,177371,7.8659983880000000000000
3837,2019,3,Campeche,Mujeres,23018,165105,13.941431210000000000000
3839,2019,3,Coahuila,Mujeres,135282,509647,26.544255140000000000000
3841,2019,3,Colima,Mujeres,16806,163610,10.271988260000000000000
3843,2019,3,Chiapas,Mujeres,70423,644717,10.923087180000000000000
3845,2019,3,Chihuahua,Mujeres,199074,656199,30.337443370000000000000
3847,2019,3,Ciudad de M xico,Mujeres,145138,1867837,7.770378250000000000000
3849,2019,3,Durango,Mujeres,49236,293919,16.7515540000000000000
3851,2019,3,Guanajuato,Mujeres,256416,1032226,24.841071630000000000000
3853,2019,3,Guerrero,Mujeres,78381,607414,12.904048970000000000000
3855,2019,3,Hidalgo,Mujeres,88209,527443,16.723892440000000000000
3857,2019,3,Jalisco,Mujeres,238513,1511362,15.781328360000000000000
3859,2019,3,M xico,Mujeres,397476,2984953,13.315988560000000000000
3861,2019,3,Michoac n,Mujeres,101998,759699,13.426106920000000000000
3863,2019,3,Morelos,Mujeres,33272,339791,9.7919014920000000000000
3865,2019,3,Nayarit,Mujeres,25570,250992,10.18757570000000000000
3867,2019,3,Nuevo Le n,Mujeres,157662,934496,16.871340270000000000000
3869,2019,3,Oaxaca,Mujeres,173120,805551,21.490880160000000000000
3871,2019,3,Puebla,Mujeres,177805,1148997,15.474801070000000000000
3873,2019,3,Quer taro,Mujeres,65517,318866,20.546875490000000000000
3875,2019,3,Quintana Roo,Mujeres,18374,310923,5.9095017090000000000000
3877,2019,3,San Luis Potos ,Mujeres,89239,468420,19.051065280000000000000
3879,2019,3,Sinaloa,Mujeres,60132,533521,11.270784090000000000000
3881,2019,3,Sonora,Mujeres,115191,557817,20.65032080000000000000
3883,2019,3,Tabasco,Mujeres,38037,358842,10.599929770000000000000
3885,2019,3,Tamaulipas,Mujeres,139018,644069,21.584333360000000000000
3887,2019,3,Tlaxcala,Mujeres,69569,247769,28.078169590000000000000
3889,2019,3,Veracruz,Mujeres,108290,1171532,9.2434521630000000000000
3891,2019,3,Yucat n,Mujeres,87369,429803,20.327685010000000000000
3893,2019,3,Zacatecas,Mujeres,30797,241208,12.767818650000000000000
3895,2019,4,Nacional,Mujeres,3441707,22032255,15.621219890000000000000
3897,2019,4,Aguascalientes,Mujeres,45667,236771,19.287412730000000000000
3899,2019,4,Baja California,Mujeres,178503,692169,25.788933050000000000000
3901,2019,4,Baja California Sur,Mujeres,10589,177178,5.9764756350000000000000
3903,2019,4,Campeche,Mujeres,26365,168668,15.631299360000000000000
3905,2019,4,Coahuila,Mujeres,135319,506132,26.735910790000000000000
3907,2019,4,Colima,Mujeres,15700,165168,9.5054732150000000000000
3909,2019,4,Chiapas,Mujeres,65837,664077,9.9140611710000000000000
3911,2019,4,Chihuahua,Mujeres,212239,684097,31.024693870000000000000
3913,2019,4,Ciudad de M xico,Mujeres,167827,1911014,8.7820916020000000000000
3915,2019,4,Durango,Mujeres,46711,296759,15.740381930000000000000
3917,2019,4,Guanajuato,Mujeres,255745,1067462,23.958229890000000000000
3919,2019,4,Guerrero,Mujeres,82765,598045,13.839259590000000000000
3921,2019,4,Hidalgo,Mujeres,87976,523399,16.808591530000000000000
3923,2019,4,Jalisco,Mujeres,246662,1492340,16.528539070000000000000
3925,2019,4,M xico,Mujeres,424971,3095573,13.72834690000000000000
3927,2019,4,Michoac n,Mujeres,76677,776359,9.8764875530000000000000
3929,2019,4,Morelos,Mujeres,32683,345424,9.4617050350000000000000
3931,2019,4,Nayarit,Mujeres,21459,252979,8.4825222650000000000000
3933,2019,4,Nuevo Le n,Mujeres,162459,975972,16.645866890000000000000
3935,2019,4,Oaxaca,Mujeres,176216,834349,21.120178730000000000000
3937,2019,4,Puebla,Mujeres,163911,1136311,14.424836160000000000000
3939,2019,4,Quer taro,Mujeres,67057,329878,20.327818160000000000000
3941,2019,4,Quintana Roo,Mujeres,20547,328557,6.2537094020000000000000
3943,2019,4,San Luis Potos ,Mujeres,85790,461750,18.579317810000000000000
3945,2019,4,Sinaloa,Mujeres,57353,553418,10.363414270000000000000
3947,2019,4,Sonora,Mujeres,108376,587614,18.443399920000000000000
3949,2019,4,Tabasco,Mujeres,38484,367082,10.483761120000000000000
3951,2019,4,Tamaulipas,Mujeres,141009,663662,21.247110730000000000000
3953,2019,4,Tlaxcala,Mujeres,67338,243972,27.600708280000000000000
3955,2019,4,Veracruz,Mujeres,102715,1217756,8.4347767530000000000000
3957,2019,4,Yucat n,Mujeres,87571,431189,20.309191560000000000000
3959,2019,4,Zacatecas,Mujeres,29186,247131,11.809930770000000000000
3961,2020,1,Nacional,Mujeres,3440544,21782867,15.794725280000000000000
3963,2020,1,Aguascalientes,Mujeres,51465,240465,21.402283080000000000000
3965,2020,1,Baja California,Mujeres,170539,682590,24.984104660000000000000
3967,2020,1,Baja California Sur,Mujeres,10475,161156,6.4999131280000000000000
3969,2020,1,Campeche,Mujeres,19612,158090,12.405591750000000000000
3971,2020,1,Coahuila,Mujeres,133828,503269,26.591743180000000000000
3973,2020,1,Colima,Mujeres,14000,150738,9.2876381540000000000000
3975,2020,1,Chiapas,Mujeres,63045,638334,9.8764909910000000000000
3977,2020,1,Chihuahua,Mujeres,208749,660483,31.605506880000000000000
3979,2020,1,Ciudad de M xico,Mujeres,181961,1973770,9.2189566160000000000000
3981,2020,1,Durango,Mujeres,44065,290115,15.188804440000000000000
3983,2020,1,Guanajuato,Mujeres,262258,1063511,24.659641510000000000000
3985,2020,1,Guerrero,Mujeres,88852,600393,14.798973340000000000000
3987,2020,1,Hidalgo,Mujeres,86359,525820,16.423681110000000000000
3989,2020,1,Jalisco,Mujeres,244385,1511244,16.171114660000000000000
3991,2020,1,M xico,Mujeres,397603,2834063,14.029434070000000000000
3993,2020,1,Michoac n,Mujeres,86275,806302,10.700085080000000000000
3995,2020,1,Morelos,Mujeres,34061,346821,9.8209162650000000000000
3997,2020,1,Nayarit,Mujeres,21338,242376,8.8036769320000000000000
3999,2020,1,Nuevo Le n,Mujeres,188832,1007925,18.734727290000000000000
4001,2020,1,Oaxaca,Mujeres,165369,769004,21.504309470000000000000
4003,2020,1,Puebla,Mujeres,169574,1157934,14.644530690000000000000
4005,2020,1,Quer taro,Mujeres,81048,390153,20.77338890000000000000
4007,2020,1,Quintana Roo,Mujeres,19170,344036,5.5720912930000000000000
4009,2020,1,San Luis Potos ,Mujeres,83222,468571,17.760808930000000000000
4011,2020,1,Sinaloa,Mujeres,54040,544767,9.9198372880000000000000
4013,2020,1,Sonora,Mujeres,100923,536046,18.827302130000000000000
4015,2020,1,Tabasco,Mujeres,40891,369493,11.066786110000000000000
4017,2020,1,Tamaulipas,Mujeres,134061,627926,21.349808740000000000000
4019,2020,1,Tlaxcala,Mujeres,64710,241288,26.818573650000000000000
4021,2020,1,Veracruz,Mujeres,106167,1238821,8.5700032530000000000000
4023,2020,1,Yucat n,Mujeres,85371,450986,18.929855920000000000000
4025,2020,1,Zacatecas,Mujeres,28296,246377,11.484838280000000000000
4027,2020,2,Nacional,Mujeres,2913505.332,17639863.33,16.51659810000000000000
4029,2020,2,Aguascalientes,Mujeres,ND,ND,ND0000000000000
4031,2020,2,Baja California,Mujeres,ND,ND,ND0000000000000
4033,2020,2,Baja California Sur,Mujeres,ND,ND,ND0000000000000
4035,2020,2,Campeche,Mujeres,ND,ND,ND0000000000000
4037,2020,2,Coahuila,Mujeres,ND,ND,ND0000000000000
4039,2020,2,Colima,Mujeres,ND,ND,ND0000000000000
4041,2020,2,Chiapas,Mujeres,ND,ND,ND0000000000000
4043,2020,2,Chihuahua,Mujeres,ND,ND,ND0000000000000
4045,2020,2,Ciudad de M xico,Mujeres,ND,ND,ND0000000000000
4047,2020,2,Durango,Mujeres,ND,ND,ND0000000000000
4049,2020,2,Guanajuato,Mujeres,ND,ND,ND0000000000000
4051,2020,2,Guerrero,Mujeres,ND,ND,ND0000000000000
4053,2020,2,Hidalgo,Mujeres,ND,ND,ND0000000000000
4055,2020,2,Jalisco,Mujeres,ND,ND,ND0000000000000
4057,2020,2,M xico,Mujeres,ND,ND,ND0000000000000
4059,2020,2,Michoac n,Mujeres,ND,ND,ND0000000000000
4061,2020,2,Morelos,Mujeres,ND,ND,ND0000000000000
4063,2020,2,Nayarit,Mujeres,ND,ND,ND0000000000000
4065,2020,2,Nuevo Le n,Mujeres,ND,ND,ND0000000000000
4067,2020,2,Oaxaca,Mujeres,ND,ND,ND0000000000000
4069,2020,2,Puebla,Mujeres,ND,ND,ND0000000000000
4071,2020,2,Quer taro,Mujeres,ND,ND,ND0000000000000
4073,2020,2,Quintana Roo,Mujeres,ND,ND,ND0000000000000
4075,2020,2,San Luis Potos ,Mujeres,ND,ND,ND0000000000000
4077,2020,2,Sinaloa,Mujeres,ND,ND,ND0000000000000
4079,2020,2,Sonora,Mujeres,ND,ND,ND0000000000000
4081,2020,2,Tabasco,Mujeres,ND,ND,ND0000000000000
4083,2020,2,Tamaulipas,Mujeres,ND,ND,ND0000000000000
4085,2020,2,Tlaxcala,Mujeres,ND,ND,ND0000000000000
4087,2020,2,Veracruz,Mujeres,ND,ND,ND0000000000000
4089,2020,2,Yucat n,Mujeres,ND,ND,ND0000000000000
4091,2020,2,Zacatecas,Mujeres,ND,ND,ND0000000000000
4093,2020,3,Nacional,Mujeres,3176021,19190597,16.549881170000000000000
4095,2020,3,Aguascalientes,Mujeres,38836,221810,17.50867860000000000000
4097,2020,3,Baja California,Mujeres,178085,639674,27.839962230000000000000
4099,2020,3,Baja California Sur,Mujeres,11520,133457,8.6319938260000000000000
4101,2020,3,Campeche,Mujeres,15261,133692,11.415043530000000000000
4103,2020,3,Coahuila,Mujeres,124890,484429,25.780867780000000000000
4105,2020,3,Colima,Mujeres,12774,127752,9.999060680000000000000
4107,2020,3,Chiapas,Mujeres,64433,546271,11.795061430000000000000
4109,2020,3,Chihuahua,Mujeres,197857,640502,30.890926180000000000000
4111,2020,3,Ciudad de M xico,Mujeres,151865,1576632,9.6322413850000000000000
4113,2020,3,Durango,Mujeres,41187,281166,14.648641730000000000000
4115,2020,3,Guanajuato,Mujeres,240612,964083,24.95760220000000000000
4117,2020,3,Guerrero,Mujeres,43255,534911,8.0863919420000000000000
4119,2020,3,Hidalgo,Mujeres,85128,444791,19.138876460000000000000
4121,2020,3,Jalisco,Mujeres,218417,1383578,15.786388620000000000000
4123,2020,3,M xico,Mujeres,388354,2395541,16.211536350000000000000
4125,2020,3,Michoac n,Mujeres,60282,685439,8.7946556880000000000000
4127,2020,3,Morelos,Mujeres,35777,327746,10.916075250000000000000
4129,2020,3,Nayarit,Mujeres,11511,233328,4.9333984780000000000000
4131,2020,3,Nuevo Le n,Mujeres,195192,950504,20.535631620000000000000
4133,2020,3,Oaxaca,Mujeres,143029,728947,19.621316780000000000000
4135,2020,3,Puebla,Mujeres,192880,1023305,18.848730340000000000000
4137,2020,3,Quer taro,Mujeres,70933,353665,20.056550690000000000000
4139,2020,3,Quintana Roo,Mujeres,13788,277693,4.9651953780000000000000
4141,2020,3,San Luis Potos ,Mujeres,88412,429513,20.584243080000000000000
4143,2020,3,Sinaloa,Mujeres,45459,445955,10.19362940000000000000
4145,2020,3,Sonora,Mujeres,93700,438902,21.348729330000000000000
4147,2020,3,Tabasco,Mujeres,21566,267884,8.050499470000000000000
4149,2020,3,Tamaulipas,Mujeres,130744,567898,23.022444170000000000000
4151,2020,3,Tlaxcala,Mujeres,54781,205698,26.631761130000000000000
4153,2020,3,Veracruz,Mujeres,99955,1111957,8.9891065930000000000000
4155,2020,3,Yucat n,Mujeres,73849,398348,18.538815310000000000000
4157,2020,3,Zacatecas,Mujeres,31689,235526,13.454565530000000000000
4159,2020,4,Nacional,Mujeres,3352630,20666815,16.222286790000000000000
4161,2020,4,Aguascalientes,Mujeres,48791,235503,20.717782790000000000000
4163,2020,4,Baja California,Mujeres,174098,654042,26.618779830000000000000
4165,2020,4,Baja California Sur,Mujeres,11668,145513,8.018527550000000000000
4167,2020,4,Campeche,Mujeres,11585,147217,7.869335740000000000000
4169,2020,4,Coahuila,Mujeres,135165,505874,26.719103970000000000000
4171,2020,4,Colima,Mujeres,14197,136181,10.425096010000000000000
4173,2020,4,Chiapas,Mujeres,65180,593472,10.982826490000000000000
4175,2020,4,Chihuahua,Mujeres,215377,641915,33.552261590000000000000
4177,2020,4,Ciudad de M xico,Mujeres,152780,1732546,8.818236280000000000000
4179,2020,4,Durango,Mujeres,44134,284913,15.490342670000000000000
4181,2020,4,Guanajuato,Mujeres,251435,1046479,24.026760210000000000000
4183,2020,4,Guerrero,Mujeres,68619,554831,12.367549760000000000000
4185,2020,4,Hidalgo,Mujeres,96007,493112,19.469613390000000000000
4187,2020,4,Jalisco,Mujeres,208977,1432807,14.58514650000000000000
4189,2020,4,M xico,Mujeres,432576,2656423,16.284153540000000000000
4191,2020,4,Michoac n,Mujeres,62132,709763,8.753907990000000000000
4193,2020,4,Morelos,Mujeres,35002,343312,10.195390780000000000000
4195,2020,4,Nayarit,Mujeres,27677,255716,10.823335260000000000000
4197,2020,4,Nuevo Le n,Mujeres,203813,1000032,20.380647820000000000000
4199,2020,4,Oaxaca,Mujeres,140124,777524,18.021823120000000000000
4201,2020,4,Puebla,Mujeres,165981,1120054,14.819017650000000000000
4203,2020,4,Quer taro,Mujeres,79461,394081,20.163621180000000000000
4205,2020,4,Quintana Roo,Mujeres,14532,302166,4.809277020000000000000
4207,2020,4,San Luis Potos ,Mujeres,95630,460064,20.786238440000000000000
4209,2020,4,Sinaloa,Mujeres,52935,484877,10.917201680000000000000
4211,2020,4,Sonora,Mujeres,101637,531834,19.110662350000000000000
4213,2020,4,Tabasco,Mujeres,24149,305871,7.895158420000000000000
4215,2020,4,Tamaulipas,Mujeres,150724,627054,24.036845310000000000000
4217,2020,4,Tlaxcala,Mujeres,59895,228453,26.217646520000000000000
4219,2020,4,Veracruz,Mujeres,90374,1187922,7.607738560000000000000
4221,2020,4,Yucat n,Mujeres,87838,426234,20.607928980000000000000
4223,2020,4,Zacatecas,Mujeres,30137,251030,12.005338010000000000000
4225,2021,1,Nacional,Mujeres,3266812,20302109,16.090998230000000000000
4227,2021,1,Aguascalientes,Mujeres,48719,235035,20.728402150000000000000
4229,2021,1,Baja California,Mujeres,198927,665201,29.904795690000000000000
4231,2021,1,Baja California Sur,Mujeres,15451,157493,9.8105947570000000000000
4233,2021,1,Campeche,Mujeres,14991,158925,9.4327512980000000000000
4235,2021,1,Coahuila,Mujeres,118330,509519,23.223864080000000000000
4237,2021,1,Colima,Mujeres,15041,151435,9.9323141940000000000000
4239,2021,1,Chiapas,Mujeres,71420,623719,11.450669290000000000000
4241,2021,1,Chihuahua,Mujeres,207473,615485,33.708863740000000000000
4243,2021,1,Ciudad de M xico,Mujeres,134138,1691499,7.9301258820000000000000
4245,2021,1,Durango,Mujeres,46289,295678,15.6552060000000000000
4247,2021,1,Guanajuato,Mujeres,236537,983717,24.045228450000000000000
4249,2021,1,Guerrero,Mujeres,55271,550204,10.045546740000000000000
4251,2021,1,Hidalgo,Mujeres,91694,481089,19.059675030000000000000
4253,2021,1,Jalisco,Mujeres,215743,1469881,14.677582740000000000000
4255,2021,1,M xico,Mujeres,326076,2495659,13.065727330000000000000
4257,2021,1,Michoac n,Mujeres,87942,700920,12.546652970000000000000
4259,2021,1,Morelos,Mujeres,30458,326755,9.321356980000000000000
4261,2021,1,Nayarit,Mujeres,15125,245333,6.1650898980000000000000
4263,2021,1,Nuevo Le n,Mujeres,216701,977876,22.160376160000000000000
4265,2021,1,Oaxaca,Mujeres,135790,779042,17.430382440000000000000
4267,2021,1,Puebla,Mujeres,165007,1035862,15.929438480000000000000
4269,2021,1,Quer taro,Mujeres,72964,354855,20.561637850000000000000
4271,2021,1,Quintana Roo,Mujeres,17165,314324,5.4609256690000000000000
4273,2021,1,San Luis Potos ,Mujeres,112644,474656,23.731713070000000000000
4275,2021,1,Sinaloa,Mujeres,53600,498803,10.745725270000000000000
4277,2021,1,Sonora,Mujeres,109754,523660,20.959019210000000000000
4279,2021,1,Tabasco,Mujeres,27530,327375,8.4093165330000000000000
4281,2021,1,Tamaulipas,Mujeres,143052,602904,23.727160540000000000000
4283,2021,1,Tlaxcala,Mujeres,59360,222910,26.629581450000000000000
4285,2021,1,Veracruz,Mujeres,87444,1130648,7.7339720230000000000000
4287,2021,1,Yucat n,Mujeres,102944,457081,22.522047510000000000000
4289,2021,1,Zacatecas,Mujeres,33232,244566,13.588152070000000000000
4291,2021,2,Nacional,Mujeres,3376043,21665358,15.582678120000000000000
4293,2021,2,Aguascalientes,Mujeres,48091,245633,19.578395410000000000000
4295,2021,2,Baja California,Mujeres,172058,690783,24.907677230000000000000
4297,2021,2,Baja California Sur,Mujeres,12735,167822,7.588397230000000000000
4299,2021,2,Campeche,Mujeres,16773,164524,10.194865190000000000000
4301,2021,2,Coahuila,Mujeres,129661,530787,24.428066250000000000000
4303,2021,2,Colima,Mujeres,15059,157548,9.5583568180000000000000
4305,2021,2,Chiapas,Mujeres,77586,678717,11.431274010000000000000
4307,2021,2,Chihuahua,Mujeres,209284,644660,32.464244720000000000000
4309,2021,2,Ciudad de M xico,Mujeres,151118,1772648,8.5249863480000000000000
4311,2021,2,Durango,Mujeres,49149,309859,15.861730660000000000000
4313,2021,2,Guanajuato,Mujeres,241631,1073672,22.505103980000000000000
4315,2021,2,Guerrero,Mujeres,50383,607810,8.2892680280000000000000
4317,2021,2,Hidalgo,Mujeres,91133,510694,17.844932580000000000000
4319,2021,2,Jalisco,Mujeres,224400,1510818,14.852881020000000000000
4321,2021,2,M xico,Mujeres,387925,2868904,13.521714220000000000000
4323,2021,2,Michoac n,Mujeres,77462,764268,10.135449870000000000000
4325,2021,2,Morelos,Mujeres,26649,327362,8.1405294440000000000000
4327,2021,2,Nayarit,Mujeres,19471,226774,8.5860812970000000000000
4329,2021,2,Nuevo Le n,Mujeres,225555,1051010,21.460785340000000000000
4331,2021,2,Oaxaca,Mujeres,148183,758070,19.547403270000000000000
4333,2021,2,Puebla,Mujeres,165521,1173697,14.102532430000000000000
4335,2021,2,Quer taro,Mujeres,84802,392300,21.616619930000000000000
4337,2021,2,Quintana Roo,Mujeres,15310,314762,4.8639924770000000000000
4339,2021,2,San Luis Potos ,Mujeres,80293,487772,16.461174480000000000000
4341,2021,2,Sinaloa,Mujeres,61969,509314,12.167150320000000000000
4343,2021,2,Sonora,Mujeres,119929,554870,21.613891540000000000000
4345,2021,2,Tabasco,Mujeres,31315,332013,9.4318595960000000000000
4347,2021,2,Tamaulipas,Mujeres,148274,653412,22.692267670000000000000
4349,2021,2,Tlaxcala,Mujeres,63953,244199,26.188886930000000000000
4351,2021,2,Veracruz,Mujeres,112519,1211893,9.2845655520000000000000
4353,2021,2,Yucat n,Mujeres,85939,479285,17.930667560000000000000
4355,2021,2,Zacatecas,Mujeres,31913,249478,12.791909510000000000000
4357,2021,3,Nacional,Mujeres,3522856,21835400,16.133691160000000000000
4359,2021,3,Aguascalientes,Mujeres,53690,245871,21.836654180000000000000
4361,2021,3,Baja California,Mujeres,188648,688166,27.413153220000000000000
4363,2021,3,Baja California Sur,Mujeres,10083,165678,6.0859015680000000000000
4365,2021,3,Campeche,Mujeres,15478,154303,10.03091320000000000000
4367,2021,3,Coahuila,Mujeres,140394,539504,26.02279130000000000000
4369,2021,3,Colima,Mujeres,13671,164391,8.3161486940000000000000
4371,2021,3,Chiapas,Mujeres,62954,620083,10.152511840000000000000
4373,2021,3,Chihuahua,Mujeres,214883,662774,32.421760660000000000000
4375,2021,3,Ciudad de M xico,Mujeres,181842,1970545,9.228005450000000000000
4377,2021,3,Durango,Mujeres,53354,316569,16.853829650000000000000
4379,2021,3,Guanajuato,Mujeres,235128,1083775,21.695278080000000000000
4381,2021,3,Guerrero,Mujeres,91799,583431,15.734337050000000000000
4383,2021,3,Hidalgo,Mujeres,104437,552921,18.888231770000000000000
4385,2021,3,Jalisco,Mujeres,251693,1490308,16.888656570000000000000
