Entidad_Federativa,Periodo,Trimestre,Sexo,Poblacion_ocupada_en_la_industria_manufacturera,Poblaci n_ocupada,Tasa_de_ocupaci n_en_la_industria_manufacturera
Hidalgo,2007,2,Mujeres,53903,341607,15.77924340000000000000
Jalisco,2007,2,Mujeres,199076,1164881,17.089814320000000000000
M xico,2007,2,Mujeres,388546,2097543,18.52386340000000000000
Michoac n,2007,2,Mujeres,89832,622683,14.42660230000000000000
Morelos,2007,2,Mujeres,34190,293705,11.640932230000000000000
Nayarit,2007,2,Mujeres,16830,167237,10.063562490000000000000
Nuevo Le n,2007,2,Mujeres,128346,714608,17.96033630000000000000
Oaxaca,2007,2,Mujeres,110229,589098,18.711487730000000000000
Puebla,2007,2,Mujeres,206724,932215,22.175571090000000000000
Quer taro,2007,2,Mujeres,59578,268947,22.152319970000000000000
Quintana Roo,2007,2,Mujeres,12839,221363,5.7999756060000000000000
San Luis Potos ,2007,2,Mujeres,55804,352624,15.825355050000000000000
Sinaloa,2007,2,Mujeres,47701,413364,11.539708340000000000000
Sonora,2007,2,Mujeres,75936,372962,20.360251180000000000000
Tabasco,2007,2,Mujeres,21977,267434,8.2177284860000000000000
Tamaulipas,2007,2,Mujeres,103801,529668,19.597370430000000000000
Tlaxcala,2007,2,Mujeres,46190,162894,28.355863320000000000000
Veracruz,2007,2,Mujeres,112243,1042245,10.769348860000000000000
Yucat n,2007,2,Mujeres,85482,329787,25.920366780000000000000
Zacatecas,2007,2,Mujeres,14931,200539,7.4454345540000000000000
Nacional,2007,3,Mujeres,2810278,16501525,17.030413860000000000000
Aguascalientes,2007,3,Mujeres,31963,161554,19.784715950000000000000
Baja California,2007,3,Mujeres,116416,463149,25.135755450000000000000
Baja California Sur,2007,3,Mujeres,4278,93712,4.5650503670000000000000
Campeche,2007,3,Mujeres,13920,109781,12.679789760000000000000
Coahuila,2007,3,Mujeres,72960,367030,19.878484050000000000000
Colima,2007,3,Mujeres,7958,109131,7.2921534670000000000000
Chiapas,2007,3,Mujeres,58908,474487,12.415092510000000000000
Chihuahua,2007,3,Mujeres,117586,457483,25.7028130000000000000
Ciudad de M xico,2007,3,Mujeres,194301,1700238,11.427870690000000000000
Durango,2007,3,Mujeres,26841,196392,13.667053650000000000000
Guanajuato,2007,3,Mujeres,171940,758250,22.675898450000000000000
Guerrero,2007,3,Mujeres,91428,524346,17.436578140000000000000
Hidalgo,2007,3,Mujeres,60084,381657,15.742931480000000000000
Jalisco,2007,3,Mujeres,202448,1182684,17.117674710000000000000
M xico,2007,3,Mujeres,397032,2051836,19.350084510000000000000
Michoac n,2007,3,Mujeres,77816,622119,12.508217880000000000000
Morelos,2007,3,Mujeres,28977,281470,10.294880450000000000000
Nayarit,2007,3,Mujeres,16092,163205,9.8599920350000000000000
Nuevo Le n,2007,3,Mujeres,129662,708820,18.29265540000000000000
Oaxaca,2007,3,Mujeres,109587,599459,18.280983350000000000000
Puebla,2007,3,Mujeres,205195,946966,21.668676590000000000000
Quer taro,2007,3,Mujeres,60652,268625,22.578687760000000000000
Quintana Roo,2007,3,Mujeres,16604,223469,7.4301133490000000000000
San Luis Potos ,2007,3,Mujeres,70253,382079,18.387035140000000000000
Sinaloa,2007,3,Mujeres,55438,411579,13.469589070000000000000
Sonora,2007,3,Mujeres,88374,388307,22.758796520000000000000
Tabasco,2007,3,Mujeres,20802,269791,7.7104128750000000000000
Tamaulipas,2007,3,Mujeres,104427,493155,21.175289720000000000000
Tlaxcala,2007,3,Mujeres,45787,169579,27.00039510000000000000
Veracruz,2007,3,Mujeres,111438,1012095,11.010626470000000000000
Yucat n,2007,3,Mujeres,84159,322033,26.133657110000000000000
Zacatecas,2007,3,Mujeres,16952,207044,8.1876316150000000000000
Nacional,2007,4,Mujeres,2871948,17158304,16.737947990000000000000
Aguascalientes,2007,4,Mujeres,31806,164071,19.385509930000000000000
Baja California,2007,4,Mujeres,124058,496906,24.966090170000000000000
Baja California Sur,2007,4,Mujeres,5501,100817,5.456421040000000000000
Campeche,2007,4,Mujeres,15728,116443,13.507037780000000000000
Coahuila,2007,4,Mujeres,67596,401016,16.856185290000000000000
Colima,2007,4,Mujeres,8032,112938,7.1118666880000000000000
Chiapas,2007,4,Mujeres,71461,521062,13.714490790000000000000
Chihuahua,2007,4,Mujeres,117846,482398,24.429205760000000000000
Ciudad de M xico,2007,4,Mujeres,214254,1743333,12.289906750000000000000
Durango,2007,4,Mujeres,31958,207178,15.4253830000000000000
Guanajuato,2007,4,Mujeres,191972,779770,24.619054340000000000000
Guerrero,2007,4,Mujeres,74162,540698,13.715974540000000000000
Hidalgo,2007,4,Mujeres,53549,389198,13.758806570000000000000
Jalisco,2007,4,Mujeres,192596,1197100,16.088547320000000000000
M xico,2007,4,Mujeres,403019,2145490,18.784473480000000000000
Michoac n,2007,4,Mujeres,71961,653067,11.018930680000000000000
Morelos,2007,4,Mujeres,29800,305818,9.7443577550000000000000
Nayarit,2007,4,Mujeres,18371,177413,10.354934530000000000000
Nuevo Le n,2007,4,Mujeres,128786,730785,17.622967080000000000000
Oaxaca,2007,4,Mujeres,116257,606897,19.155968810000000000000
Puebla,2007,4,Mujeres,227588,949958,23.957690760000000000000
Quer taro,2007,4,Mujeres,63481,280990,22.591907190000000000000
Quintana Roo,2007,4,Mujeres,16319,233865,6.9779573690000000000000
San Luis Potos ,2007,4,Mujeres,68546,376896,18.186979960000000000000
Sinaloa,2007,4,Mujeres,43748,425633,10.278338380000000000000
Sonora,2007,4,Mujeres,83042,407130,20.396924820000000000000
Tabasco,2007,4,Mujeres,38268,326902,11.706260590000000000000
Tamaulipas,2007,4,Mujeres,95644,507987,18.828040880000000000000
Tlaxcala,2007,4,Mujeres,43201,166378,25.965572370000000000000
Veracruz,2007,4,Mujeres,117030,1059571,11.045036150000000000000
Yucat n,2007,4,Mujeres,87717,336544,26.064051060000000000000
Zacatecas,2007,4,Mujeres,18651,214052,8.7133033090000000000000
Nacional,2008,1,Mujeres,2690113,16769645,16.0415620000000000000
Aguascalientes,2008,1,Mujeres,30239,159454,18.964089960000000000000
Baja California,2008,1,Mujeres,112477,475892,23.634984410000000000000
Baja California Sur,2008,1,Mujeres,6171,101858,6.0584342910000000000000
Campeche,2008,1,Mujeres,14356,117532,12.214545830000000000000
Coahuila,2008,1,Mujeres,69200,392583,17.626845790000000000000
Colima,2008,1,Mujeres,8593,118407,7.2571722960000000000000
Chiapas,2008,1,Mujeres,56657,486789,11.638923640000000000000
Chihuahua,2008,1,Mujeres,117415,468756,25.048212720000000000000
Ciudad de M xico,2008,1,Mujeres,206929,1707329,12.120042480000000000000
Durango,2008,1,Mujeres,30364,201001,15.106392510000000000000
Guanajuato,2008,1,Mujeres,170631,762321,22.383090590000000000000
Guerrero,2008,1,Mujeres,78669,514356,15.294659730000000000000
Hidalgo,2008,1,Mujeres,53794,388141,13.859396460000000000000
Jalisco,2008,1,Mujeres,190425,1189843,16.004212320000000000000
M xico,2008,1,Mujeres,365377,2181614,16.748013170000000000000
Michoac n,2008,1,Mujeres,72897,620094,11.755798310000000000000
Morelos,2008,1,Mujeres,31932,291363,10.959524720000000000000
Nayarit,2008,1,Mujeres,15028,173018,8.6858014770000000000000
Nuevo Le n,2008,1,Mujeres,137062,719824,19.041043370000000000000
Oaxaca,2008,1,Mujeres,113384,584339,19.403804980000000000000
Puebla,2008,1,Mujeres,181938,893266,20.367729210000000000000
Quer taro,2008,1,Mujeres,53628,264937,20.241793330000000000000
Quintana Roo,2008,1,Mujeres,13793,236361,5.8355650890000000000000
San Luis Potos ,2008,1,Mujeres,61252,370231,16.544265610000000000000
Sinaloa,2008,1,Mujeres,44197,429409,10.292518320000000000000
Sonora,2008,1,Mujeres,83707,410812,20.375987070000000000000
Tabasco,2008,1,Mujeres,23642,279491,8.4589485890000000000000
Tamaulipas,2008,1,Mujeres,97553,515569,18.921424680000000000000
Tlaxcala,2008,1,Mujeres,41959,168817,24.854724350000000000000
Veracruz,2008,1,Mujeres,105676,1033936,10.220748670000000000000
Yucat n,2008,1,Mujeres,82712,324083,25.521857060000000000000
Zacatecas,2008,1,Mujeres,18456,188219,9.8055987970000000000000
Nacional,2008,2,Mujeres,2851351,16987934,16.784566030000000000000
Aguascalientes,2008,2,Mujeres,30393,164861,18.435530540000000000000
Baja California,2008,2,Mujeres,121410,525885,23.086796540000000000000
Baja California Sur,2008,2,Mujeres,6021,103777,5.8018636110000000000000
Campeche,2008,2,Mujeres,14532,120984,12.011505650000000000000
Coahuila,2008,2,Mujeres,68089,390947,17.416427290000000000000
Colima,2008,2,Mujeres,10130,123792,8.1830812980000000000000
Chiapas,2008,2,Mujeres,53917,479975,11.23329340000000000000
Chihuahua,2008,2,Mujeres,128583,485122,26.505291450000000000000
Ciudad de M xico,2008,2,Mujeres,207455,1748780,11.862841520000000000000
Durango,2008,2,Mujeres,22765,198542,11.466087780000000000000
Guanajuato,2008,2,Mujeres,178898,767759,23.301322420000000000000
Guerrero,2008,2,Mujeres,76930,496609,15.491060370000000000000
Hidalgo,2008,2,Mujeres,62587,381877,16.38930860000000000000
Jalisco,2008,2,Mujeres,232458,1225856,18.962912450000000000000
M xico,2008,2,Mujeres,391137,2181750,17.927672740000000000000
Michoac n,2008,2,Mujeres,97211,642714,15.125078960000000000000
Morelos,2008,2,Mujeres,35272,299491,11.777315510000000000000
Nayarit,2008,2,Mujeres,16211,176312,9.1944961210000000000000
Nuevo Le n,2008,2,Mujeres,146859,735595,19.964654460000000000000
Oaxaca,2008,2,Mujeres,111413,569185,19.574127920000000000000
Puebla,2008,2,Mujeres,208018,907300,22.927146480000000000000
Quer taro,2008,2,Mujeres,54734,277598,19.717000840000000000000
Quintana Roo,2008,2,Mujeres,15699,248443,6.3189544480000000000000
San Luis Potos ,2008,2,Mujeres,56649,370395,15.294212930000000000000
Sinaloa,2008,2,Mujeres,37581,411378,9.1353937250000000000000
Sonora,2008,2,Mujeres,89928,421779,21.321118410000000000000
Tabasco,2008,2,Mujeres,23114,265421,8.708429250000000000000
Tamaulipas,2008,2,Mujeres,101122,531294,19.033153020000000000000
Tlaxcala,2008,2,Mujeres,46007,173329,26.543163580000000000000
Veracruz,2008,2,Mujeres,105182,1030393,10.207949780000000000000
Yucat n,2008,2,Mujeres,82631,335182,24.652576810000000000000
Zacatecas,2008,2,Mujeres,18415,195609,9.4141885090000000000000
Nacional,2008,3,Mujeres,2723216,16735951,16.271653760000000000000
Aguascalientes,2008,3,Mujeres,29067,165035,17.612627620000000000000
Baja California,2008,3,Mujeres,115076,516351,22.286390460000000000000
Baja California Sur,2008,3,Mujeres,6239,106542,5.8559065910000000000000
Campeche,2008,3,Mujeres,15020,120550,12.459560350000000000000
Coahuila,2008,3,Mujeres,67866,394099,17.220546110000000000000
Colima,2008,3,Mujeres,10075,123791,8.1387176770000000000000
Chiapas,2008,3,Mujeres,65966,504456,13.07666080000000000000
Chihuahua,2008,3,Mujeres,108721,482639,22.526360280000000000000
Ciudad de M xico,2008,3,Mujeres,174101,1690721,10.297441150000000000000
Durango,2008,3,Mujeres,25298,192318,13.154254930000000000000
Guanajuato,2008,3,Mujeres,176720,767010,23.040116820000000000000
Guerrero,2008,3,Mujeres,88669,526306,16.847423360000000000000
Hidalgo,2008,3,Mujeres,74991,374685,20.014412110000000000000
Jalisco,2008,3,Mujeres,220991,1182425,18.689642050000000000000
M xico,2008,3,Mujeres,402438,2137566,18.826927450000000000000
Michoac n,2008,3,Mujeres,87698,642125,13.657465450000000000000
Morelos,2008,3,Mujeres,31956,296410,10.781012790000000000000
Nayarit,2008,3,Mujeres,16719,169661,9.8543566290000000000000
Nuevo Le n,2008,3,Mujeres,140125,712875,19.656321230000000000000
Oaxaca,2008,3,Mujeres,103454,590914,17.507454550000000000000
Puebla,2008,3,Mujeres,158698,861319,18.424997010000000000000
Quer taro,2008,3,Mujeres,58408,279087,20.928241010000000000000
Quintana Roo,2008,3,Mujeres,16898,238870,7.0741407460000000000000
San Luis Potos ,2008,3,Mujeres,55352,362395,15.273941420000000000000
Sinaloa,2008,3,Mujeres,42285,406658,10.398172420000000000000
Sonora,2008,3,Mujeres,83986,399981,20.997497380000000000000
Tabasco,2008,3,Mujeres,24367,260738,9.3453965280000000000000
Tamaulipas,2008,3,Mujeres,92434,512637,18.031082420000000000000
Tlaxcala,2008,3,Mujeres,44169,173407,25.471290090000000000000
Veracruz,2008,3,Mujeres,87645,1022889,8.5683783870000000000000
Yucat n,2008,3,Mujeres,83440,330605,25.238577760000000000000
Zacatecas,2008,3,Mujeres,14344,190886,7.5144326980000000000000
Nacional,2008,4,Mujeres,2664257,16717832,15.936617860000000000000
Aguascalientes,2008,4,Mujeres,31093,170052,18.284407120000000000000
Baja California,2008,4,Mujeres,114512,508404,22.523819640000000000000
Baja California Sur,2008,4,Mujeres,6431,107623,5.9754885110000000000000
Campeche,2008,4,Mujeres,15160,118786,12.762446750000000000000
Coahuila,2008,4,Mujeres,61959,398898,15.532542150000000000000
Colima,2008,4,Mujeres,10599,119888,8.8407513680000000000000
Chiapas,2008,4,Mujeres,40530,461873,8.7751394860000000000000
Chihuahua,2008,4,Mujeres,105673,487073,21.695515870000000000000
Ciudad de M xico,2008,4,Mujeres,173414,1668417,10.39392430000000000000
Durango,2008,4,Mujeres,26238,204212,12.848412430000000000000
Guanajuato,2008,4,Mujeres,188518,771798,24.425821260000000000000
Guerrero,2008,4,Mujeres,78465,548264,14.311536050000000000000
Hidalgo,2008,4,Mujeres,72474,344698,21.025361330000000000000
Jalisco,2008,4,Mujeres,209783,1176821,17.826245450000000000000
M xico,2008,4,Mujeres,384454,2182153,17.618104690000000000000
Michoac n,2008,4,Mujeres,81171,630313,12.877887650000000000000
Morelos,2008,4,Mujeres,30852,296019,10.422303970000000000000
Nayarit,2008,4,Mujeres,17156,172621,9.9385358680000000000000
Nuevo Le n,2008,4,Mujeres,132877,721159,18.425478990000000000000
Oaxaca,2008,4,Mujeres,111049,578803,19.185975190000000000000
Puebla,2008,4,Mujeres,191170,884206,21.620527340000000000000
Quer taro,2008,4,Mujeres,52329,274790,19.043269410000000000000
Quintana Roo,2008,4,Mujeres,13815,240333,5.7482742690000000000000
San Luis Potos ,2008,4,Mujeres,58386,372118,15.69018430000000000000
Sinaloa,2008,4,Mujeres,42706,434666,9.8250150690000000000000
Sonora,2008,4,Mujeres,78169,387022,20.197559830000000000000
Tabasco,2008,4,Mujeres,20700,260571,7.9440920130000000000000
Tamaulipas,2008,4,Mujeres,83989,516863,16.249760570000000000000
Tlaxcala,2008,4,Mujeres,41952,166033,25.267266150000000000000
Veracruz,2008,4,Mujeres,87588,977107,8.9640131530000000000000
Yucat n,2008,4,Mujeres,84439,337151,25.04486120000000000000
Zacatecas,2008,4,Mujeres,16606,199097,8.3406580710000000000000
Nacional,2009,1,Mujeres,2583150,16617376,15.544873030000000000000
Aguascalientes,2009,1,Mujeres,26764,160729,16.651631010000000000000
Baja California,2009,1,Mujeres,107988,501313,21.541033250000000000000
Baja California Sur,2009,1,Mujeres,6742,106731,6.3168151710000000000000
Campeche,2009,1,Mujeres,13017,118543,10.980825520000000000000
Coahuila,2009,1,Mujeres,56989,390679,14.587167470000000000000
Colima,2009,1,Mujeres,10226,121277,8.4319368060000000000000
Chiapas,2009,1,Mujeres,51009,511975,9.9631817960000000000000
Chihuahua,2009,1,Mujeres,102021,454803,22.431910080000000000000
Ciudad de M xico,2009,1,Mujeres,162151,1717805,9.439429970000000000000
Durango,2009,1,Mujeres,22740,200571,11.337631060000000000000
Guanajuato,2009,1,Mujeres,179841,778594,23.09817440000000000000
Guerrero,2009,1,Mujeres,81616,493859,16.526174470000000000000
Hidalgo,2009,1,Mujeres,62999,353491,17.821953030000000000000
Jalisco,2009,1,Mujeres,208880,1171242,17.834059910000000000000
M xico,2009,1,Mujeres,347885,2135968,16.286994940000000000000
Michoac n,2009,1,Mujeres,84481,634558,13.313361430000000000000
Morelos,2009,1,Mujeres,27086,299257,9.0510831830000000000000
Nayarit,2009,1,Mujeres,14290,180597,7.9126452820000000000000
Nuevo Le n,2009,1,Mujeres,118346,726431,16.291430290000000000000
Oaxaca,2009,1,Mujeres,129621,580643,22.323699760000000000000
Puebla,2009,1,Mujeres,182053,844152,21.566376670000000000000
Quer taro,2009,1,Mujeres,48877,270504,18.068864050000000000000
Quintana Roo,2009,1,Mujeres,13134,228776,5.7409868170000000000000
San Luis Potos ,2009,1,Mujeres,51810,366933,14.119743930000000000000
Sinaloa,2009,1,Mujeres,40665,427154,9.5199857660000000000000
Sonora,2009,1,Mujeres,84529,391767,21.576345120000000000000
Tabasco,2009,1,Mujeres,20684,270384,7.6498609390000000000000
Tamaulipas,2009,1,Mujeres,76789,499959,15.359059440000000000000
Tlaxcala,2009,1,Mujeres,42553,164671,25.84122280000000000000
Veracruz,2009,1,Mujeres,114460,1003250,11.408921010000000000000
Yucat n,2009,1,Mujeres,77892,335084,23.245514560000000000000
Zacatecas,2009,1,Mujeres,15012,175676,8.5452765320000000000000
Nacional,2009,2,Mujeres,2507990,16831830,14.900281190000000000000
Aguascalientes,2009,2,Mujeres,27898,165083,16.899377890000000000000
Baja California,2009,2,Mujeres,105587,512552,20.600251290000000000000
Baja California Sur,2009,2,Mujeres,4457,103881,4.2904862290000000000000
Campeche,2009,2,Mujeres,14086,120151,11.723581160000000000000
Coahuila,2009,2,Mujeres,54910,385016,14.261744970000000000000
Colima,2009,2,Mujeres,10093,119042,8.4785201860000000000000
Chiapas,2009,2,Mujeres,58728,522042,11.249669570000000000000
Chihuahua,2009,2,Mujeres,86269,465266,18.541866370000000000000
Ciudad de M xico,2009,2,Mujeres,156554,1710841,9.1507042440000000000000
Durango,2009,2,Mujeres,23398,197352,11.855973080000000000000
Guanajuato,2009,2,Mujeres,172397,801089,21.520330450000000000000
Guerrero,2009,2,Mujeres,74914,530530,14.120596380000000000000
Hidalgo,2009,2,Mujeres,55594,348931,15.93266290000000000000
Jalisco,2009,2,Mujeres,193917,1162551,16.680300480000000000000
M xico,2009,2,Mujeres,344688,2186908,15.761431210000000000000
Michoac n,2009,2,Mujeres,69459,642350,10.81326380000000000000
Morelos,2009,2,Mujeres,36011,311747,11.551354140000000000000
Nayarit,2009,2,Mujeres,17831,187067,9.5318789520000000000000
Nuevo Le n,2009,2,Mujeres,112693,730081,15.435684530000000000000
Oaxaca,2009,2,Mujeres,116992,598096,19.560739410000000000000
Puebla,2009,2,Mujeres,173701,833000,20.852460980000000000000
Quer taro,2009,2,Mujeres,44327,261660,16.940686390000000000000
Quintana Roo,2009,2,Mujeres,14514,237507,6.1109777820000000000000
San Luis Potos ,2009,2,Mujeres,52409,366174,14.312594560000000000000
Sinaloa,2009,2,Mujeres,49969,413884,12.073189590000000000000
Sonora,2009,2,Mujeres,84899,395670,21.457022270000000000000
Tabasco,2009,2,Mujeres,22400,279283,8.0205383070000000000000
Tamaulipas,2009,2,Mujeres,78015,519914,15.005366270000000000000
Tlaxcala,2009,2,Mujeres,41488,182867,22.6875270000000000000
Veracruz,2009,2,Mujeres,115711,1003343,11.53254670000000000000
Yucat n,2009,2,Mujeres,74898,337665,22.181155880000000000000
Zacatecas,2009,2,Mujeres,19183,200287,9.577755920000000000000
Nacional,2009,3,Mujeres,2605551,17391106,14.982089120000000000000
Aguascalientes,2009,3,Mujeres,26573,170920,15.547039550000000000000
Baja California,2009,3,Mujeres,107677,505503,21.300961620000000000000
Baja California Sur,2009,3,Mujeres,5696,98332,5.7926209170000000000000
Campeche,2009,3,Mujeres,15647,122655,12.756919820000000000000
Coahuila,2009,3,Mujeres,56994,394694,14.440047230000000000000
Colima,2009,3,Mujeres,11193,122296,9.1523843790000000000000
Chiapas,2009,3,Mujeres,60909,538458,11.311745760000000000000
Chihuahua,2009,3,Mujeres,84623,467447,18.103228820000000000000
Ciudad de M xico,2009,3,Mujeres,165226,1726878,9.5679023070000000000000
Durango,2009,3,Mujeres,23967,193795,12.367192140000000000000
Guanajuato,2009,3,Mujeres,181866,850510,21.38317010000000000000
Guerrero,2009,3,Mujeres,85197,600062,14.198032870000000000000
Hidalgo,2009,3,Mujeres,73971,368422,20.077791230000000000000
Jalisco,2009,3,Mujeres,186630,1217839,15.324685780000000000000
M xico,2009,3,Mujeres,346604,2254336,15.37499290000000000000
Michoac n,2009,3,Mujeres,72575,688632,10.539010680000000000000
Morelos,2009,3,Mujeres,31991,305760,10.462781270000000000000
Nayarit,2009,3,Mujeres,16924,184599,9.1679803250000000000000
Nuevo Le n,2009,3,Mujeres,114626,740170,15.48644230000000000000
Oaxaca,2009,3,Mujeres,134557,647720,20.773945530000000000000
Puebla,2009,3,Mujeres,190580,911429,20.910021520000000000000
Quer taro,2009,3,Mujeres,46874,262845,17.833323820000000000000
Quintana Roo,2009,3,Mujeres,13685,231878,5.9018104350000000000000
San Luis Potos ,2009,3,Mujeres,53913,353534,15.249735530000000000000
Sinaloa,2009,3,Mujeres,54770,437388,12.522062790000000000000
Sonora,2009,3,Mujeres,84426,405430,20.823816690000000000000
Tabasco,2009,3,Mujeres,26393,296422,8.9038600370000000000000
Tamaulipas,2009,3,Mujeres,74652,513308,14.543315120000000000000
Tlaxcala,2009,3,Mujeres,45558,176241,25.849830630000000000000
Veracruz,2009,3,Mujeres,113875,1054574,10.798199080000000000000
Yucat n,2009,3,Mujeres,78194,341577,22.892056550000000000000
Zacatecas,2009,3,Mujeres,19185,207452,9.2479224110000000000000
Nacional,2009,4,Mujeres,2638406,17594013,14.996044390000000000000
Aguascalientes,2009,4,Mujeres,30851,175283,17.600680040000000000000
Baja California,2009,4,Mujeres,99344,498263,19.938064840000000000000
Baja California Sur,2009,4,Mujeres,6758,99889,6.7655097160000000000000
Campeche,2009,4,Mujeres,17957,128691,13.953578730000000000000
Coahuila,2009,4,Mujeres,67154,408713,16.430600450000000000000
Colima,2009,4,Mujeres,10129,116618,8.6856231460000000000000
Chiapas,2009,4,Mujeres,53909,559598,9.6335226360000000000000
Chihuahua,2009,4,Mujeres,104260,471635,22.106077790000000000000
Ciudad de M xico,2009,4,Mujeres,178493,1702524,10.484022550000000000000
Durango,2009,4,Mujeres,22973,199263,11.528984310000000000000
Guanajuato,2009,4,Mujeres,185967,852981,21.802009660000000000000
Guerrero,2009,4,Mujeres,76873,561347,13.694381550000000000000
Hidalgo,2009,4,Mujeres,66759,361538,18.465278890000000000000
Jalisco,2009,4,Mujeres,202269,1267257,15.961166520000000000000
M xico,2009,4,Mujeres,377537,2341109,16.126417010000000000000
Michoac n,2009,4,Mujeres,75196,662304,11.35369860000000000000
Morelos,2009,4,Mujeres,31176,308236,10.114327980000000000000
Nayarit,2009,4,Mujeres,15399,188186,8.1828616370000000000000
Nuevo Le n,2009,4,Mujeres,107226,757713,14.151268360000000000000
Oaxaca,2009,4,Mujeres,129747,628002,20.660284520000000000000
Puebla,2009,4,Mujeres,174942,933579,18.738853380000000000000
Quer taro,2009,4,Mujeres,50103,253439,19.769254140000000000000
Quintana Roo,2009,4,Mujeres,15236,239423,6.3636325670000000000000
San Luis Potos ,2009,4,Mujeres,59993,364003,16.481457570000000000000
Sinaloa,2009,4,Mujeres,52691,471647,11.171702570000000000000
Sonora,2009,4,Mujeres,97131,425679,22.817897990000000000000
Tabasco,2009,4,Mujeres,15441,288847,5.345736670000000000000
Tamaulipas,2009,4,Mujeres,79191,512755,15.4442180000000000000
Tlaxcala,2009,4,Mujeres,46312,177739,26.056183510000000000000
Veracruz,2009,4,Mujeres,92274,1072818,8.6010861120000000000000
Yucat n,2009,4,Mujeres,76459,358107,21.350881160000000000000
Zacatecas,2009,4,Mujeres,18656,206827,9.0200989230000000000000
Nacional,2010,1,Mujeres,2580136,17103008,15.085860920000000000000
Aguascalientes,2010,1,Mujeres,30999,173151,17.90287090000000000000
Baja California,2010,1,Mujeres,101521,494120,20.545818830000000000000
Baja California Sur,2010,1,Mujeres,6270,104331,6.0097190670000000000000
Campeche,2010,1,Mujeres,16875,123482,13.665959410000000000000
Coahuila,2010,1,Mujeres,66704,398505,16.738560370000000000000
Colima,2010,1,Mujeres,10060,120472,8.350488080000000000000
Chiapas,2010,1,Mujeres,64489,543494,11.865632370000000000000
Chihuahua,2010,1,Mujeres,101543,440977,23.026824530000000000000
Ciudad de M xico,2010,1,Mujeres,164724,1696908,9.707302930000000000000
Durango,2010,1,Mujeres,24916,204883,12.161087060000000000000
Guanajuato,2010,1,Mujeres,183168,825632,22.185186620000000000000
Guerrero,2010,1,Mujeres,91157,536611,16.987538460000000000000
