Entidad_Federativa,Periodo,Trimestre,Sexo,Poblacion_ocupada_en_la_industria_manufacturera,Poblaci n_ocupada,Tasa_de_ocupaci n_en_la_industria_manufacturera
Nacional,2007,1,Mujeres,2798066,16239553,17.229944690000000000000
Aguascalientes,2007,1,Mujeres,31485,162275,19.402249270000000000000
Baja California,2007,1,Mujeres,112553,450574,24.979914510000000000000
Baja California Sur,2007,1,Mujeres,6298,87290,7.2150303590000000000000
Campeche,2007,1,Mujeres,14502,114970,12.613725320000000000000
Coahuila,2007,1,Mujeres,70711,364714,19.388068460000000000000
Colima,2007,1,Mujeres,8002,108593,7.3687990940000000000000
Chiapas,2007,1,Mujeres,62521,459490,13.606607330000000000000
Chihuahua,2007,1,Mujeres,118215,476923,24.787020130000000000000
Ciudad de M xico,2007,1,Mujeres,204093,1725232,11.829887230000000000000
Durango,2007,1,Mujeres,27817,191692,14.511299380000000000000
Guanajuato,2007,1,Mujeres,159639,725927,21.99105420000000000000
Guerrero,2007,1,Mujeres,76590,465770,16.443738330000000000000
Hidalgo,2007,1,Mujeres,67130,358485,18.726027590000000000000
Jalisco,2007,1,Mujeres,218348,1121406,19.470914190000000000000
M xico,2007,1,Mujeres,410475,2129489,19.275751130000000000000
Michoac n,2007,1,Mujeres,86614,613004,14.129434720000000000000
Morelos,2007,1,Mujeres,33248,275264,12.078586380000000000000
Nayarit,2007,1,Mujeres,15257,163826,9.3129295720000000000000
Nuevo Le n,2007,1,Mujeres,132331,703408,18.812836930000000000000
Oaxaca,2007,1,Mujeres,101571,542913,18.708522360000000000000
Puebla,2007,1,Mujeres,202179,889758,22.722920160000000000000
Quer taro,2007,1,Mujeres,57489,269754,21.311639490000000000000
Quintana Roo,2007,1,Mujeres,15785,220851,7.147352740000000000000
San Luis Potos ,2007,1,Mujeres,57955,353862,16.377853510000000000000
Sinaloa,2007,1,Mujeres,42373,414363,10.226057830000000000000
Sonora,2007,1,Mujeres,74615,382886,19.48752370000000000000
Tabasco,2007,1,Mujeres,20020,269178,7.4374577420000000000000
Tamaulipas,2007,1,Mujeres,101217,486772,20.793513180000000000000
Tlaxcala,2007,1,Mujeres,44904,163863,27.403379650000000000000
Veracruz,2007,1,Mujeres,116977,1015201,11.522545780000000000000
Yucat n,2007,1,Mujeres,89112,331437,26.886557630000000000000
Zacatecas,2007,1,Mujeres,18040,200383,9.0027597150000000000000
Nacional,2007,2,Mujeres,2779458,16501458,16.843711630000000000000
Aguascalientes,2007,2,Mujeres,30635,163197,18.771791150000000000000
Baja California,2007,2,Mujeres,119689,486167,24.618906670000000000000
Baja California Sur,2007,2,Mujeres,4867,86069,5.6547653630000000000000
Campeche,2007,2,Mujeres,15002,114345,13.119944030000000000000
Coahuila,2007,2,Mujeres,75492,367466,20.543941480000000000000
Colima,2007,2,Mujeres,6982,105379,6.6256085180000000000000
Chiapas,2007,2,Mujeres,70981,479588,14.800412020000000000000
Chihuahua,2007,2,Mujeres,124172,473611,26.218141050000000000000
Ciudad de M xico,2007,2,Mujeres,188361,1679920,11.212498210000000000000
Durango,2007,2,Mujeres,26337,193258,13.627896390000000000000
Guanajuato,2007,2,Mujeres,175219,772825,22.672532590000000000000
Guerrero,2007,2,Mujeres,77563,494229,15.693737110000000000000
