Entidad_Federativa,Periodo,Trimestre,Sexo,Poblacion_ocupada_en_la_industria_manufacturera,Poblaci n_ocupada,Tasa_de_ocupaci n_en_la_industria_manufacturera
Nacional,2007,1,Hombres,4495811,27286572,16.476276320000000000000
Nacional,2007,1,Mujeres,2798066,16239553,17.229944690000000000000
Aguascalientes,2007,1,Hombres,59177,263092,22.492892220000000000000
Aguascalientes,2007,1,Mujeres,31485,162275,19.402249270000000000000
Baja California,2007,1,Hombres,160967,784303,20.523573160000000000000
Baja California,2007,1,Mujeres,112553,450574,24.979914510000000000000
Baja California Sur,2007,1,Hombres,11281,166871,6.7603118580000000000000
Baja California Sur,2007,1,Mujeres,6298,87290,7.2150303590000000000000
Campeche,2007,1,Hombres,16030,210571,7.6126342180000000000000
Campeche,2007,1,Mujeres,14502,114970,12.613725320000000000000
Coahuila,2007,1,Hombres,186864,687205,27.191885970000000000000
Coahuila,2007,1,Mujeres,70711,364714,19.388068460000000000000
Colima,2007,1,Hombres,13852,161945,8.5535212570000000000000
Colima,2007,1,Mujeres,8002,108593,7.3687990940000000000000
Chiapas,2007,1,Hombres,75422,1152648,6.5433679670000000000000
Chiapas,2007,1,Mujeres,62521,459490,13.606607330000000000000
Chihuahua,2007,1,Hombres,177142,885288,20.009533620000000000000
Chihuahua,2007,1,Mujeres,118215,476923,24.787020130000000000000
Ciudad de M xico,2007,1,Hombres,363088,2311208,15.709879860000000000000
Ciudad de M xico,2007,1,Mujeres,204093,1725232,11.829887230000000000000
Durango,2007,1,Hombres,71936,387022,18.587057070000000000000
Durango,2007,1,Mujeres,27817,191692,14.511299380000000000000
Guanajuato,2007,1,Hombres,313340,1239089,25.287933310000000000000
Guanajuato,2007,1,Mujeres,159639,725927,21.99105420000000000000
Guerrero,2007,1,Hombres,46498,733252,6.3413396760000000000000
Guerrero,2007,1,Mujeres,76590,465770,16.443738330000000000000
Hidalgo,2007,1,Hombres,98093,608014,16.133345610000000000000
Hidalgo,2007,1,Mujeres,67130,358485,18.726027590000000000000
Jalisco,2007,1,Hombres,398528,1801877,22.117380930000000000000
Jalisco,2007,1,Mujeres,218348,1121406,19.470914190000000000000
M xico,2007,1,Hombres,721574,3649993,19.76918860000000000000
M xico,2007,1,Mujeres,410475,2129489,19.275751130000000000000
Michoac n,2007,1,Hombres,124967,1008619,12.389911350000000000000
Michoac n,2007,1,Mujeres,86614,613004,14.129434720000000000000
Morelos,2007,1,Hombres,48968,421931,11.605689080000000000000
Morelos,2007,1,Mujeres,33248,275264,12.078586380000000000000
Nayarit,2007,1,Hombres,21860,269074,8.1241591530000000000000
Nayarit,2007,1,Mujeres,15257,163826,9.3129295720000000000000
Nuevo Le n,2007,1,Hombres,320435,1258965,25.452256420000000000000
Nuevo Le n,2007,1,Mujeres,132331,703408,18.812836930000000000000
Oaxaca,2007,1,Hombres,69830,858583,8.1331682550000000000000
Oaxaca,2007,1,Mujeres,101571,542913,18.708522360000000000000
Puebla,2007,1,Hombres,237296,1361134,17.433698670000000000000
Puebla,2007,1,Mujeres,202179,889758,22.722920160000000000000
Quer taro,2007,1,Hombres,92288,410057,22.506139390000000000000
Quer taro,2007,1,Mujeres,57489,269754,21.311639490000000000000
Quintana Roo,2007,1,Hombres,22961,359878,6.380217740000000000000
Quintana Roo,2007,1,Mujeres,15785,220851,7.147352740000000000000
San Luis Potos ,2007,1,Hombres,102756,607013,16.928138280000000000000
San Luis Potos ,2007,1,Mujeres,57955,353862,16.377853510000000000000
Sinaloa,2007,1,Hombres,69158,722451,9.5726907430000000000000
Sinaloa,2007,1,Mujeres,42373,414363,10.226057830000000000000
Sonora,2007,1,Hombres,95798,619976,15.451888460000000000000
Sonora,2007,1,Mujeres,74615,382886,19.48752370000000000000
Tabasco,2007,1,Hombres,40692,550545,7.3912214260000000000000
Tabasco,2007,1,Mujeres,20020,269178,7.4374577420000000000000
Tamaulipas,2007,1,Hombres,142883,804698,17.756102290000000000000
Tamaulipas,2007,1,Mujeres,101217,486772,20.793513180000000000000
Tlaxcala,2007,1,Hombres,63153,271285,23.279208210000000000000
Tlaxcala,2007,1,Mujeres,44904,163863,27.403379650000000000000
Veracruz,2007,1,Hombres,213510,1879339,11.360909340000000000000
Veracruz,2007,1,Mujeres,116977,1015201,11.522545780000000000000
Yucat n,2007,1,Hombres,84892,510950,16.614541540000000000000
Yucat n,2007,1,Mujeres,89112,331437,26.886557630000000000000
Zacatecas,2007,1,Hombres,30572,329696,9.2727846260000000000000
Zacatecas,2007,1,Mujeres,18040,200383,9.0027597150000000000000
Nacional,2007,2,Hombres,4464018,27549470,16.203643850000000000000
Nacional,2007,2,Mujeres,2779458,16501458,16.843711630000000000000
Aguascalientes,2007,2,Hombres,62162,269482,23.067217850000000000000
Aguascalientes,2007,2,Mujeres,30635,163197,18.771791150000000000000
Baja California,2007,2,Hombres,155783,795658,19.579140790000000000000
Baja California,2007,2,Mujeres,119689,486167,24.618906670000000000000
Baja California Sur,2007,2,Hombres,11257,168438,6.6831712560000000000000
